iso_time,gpu_name,utilization_pct,memory_used_mib,memory_total_mib,temperature_c,power_w
2026-08-14T18:27:05,558845066+09:00,NVIDIA GeForce RTX 3070, 49, 484, 8192, 54, 79.62
2026-08-14T18:27:12,812695962+09:00,NVIDIA GeForce RTX 3070, 46, 483, 8192, 54, 80.45
2026-08-14T18:27:20,071560806+09:00,NVIDIA GeForce RTX 3070, 51, 485, 8192, 54, 80.93
2026-08-14T18:27:27,291582349+09:00,NVIDIA GeForce RTX 3070, 47, 484, 8192, 54, 80.52
2026-08-14T18:27:34,522353898+09:00,NVIDIA GeForce RTX 3070, 47, 483, 8192, 54, 79.56
2026-08-14T18:27:41,777441494+09:00,NVIDIA GeForce RTX 3070, 46, 484, 8192, 54, 79.38
2026-08-14T18:27:48,981556296+09:00,NVIDIA GeForce RTX 3070, 50, 485, 8192, 54, 80.65
2026-08-14T18:27:56,195919825+09:00,NVIDIA GeForce RTX 3070, 43, 486, 8192, 54, 80.18
2026-08-14T18:28:03,434020459+09:00,NVIDIA GeForce RTX 3070, 47, 486, 8192, 54, 79.75
2026-08-14T18:28:10,731393444+09:00,NVIDIA GeForce RTX 3070, 45, 486, 8192, 54, 80.72
2026-08-14T18:28:18,020239453+09:00,NVIDIA GeForce RTX 3070, 49, 486, 8192, 54, 80.49
2026-08-14T18:28:25,268585591+09:00,NVIDIA GeForce RTX 3070, 48, 492, 8192, 54, 80.81
2026-08-14T18:28:32,470577130+09:00,NVIDIA GeForce RTX 3070, 47, 487, 8192, 53, 79.36
2026-08-14T18:28:39,701178281+09:00,NVIDIA GeForce RTX 3070, 43, 500, 8192, 53, 79.10
2026-08-14T18:28:46,920403489+09:00,NVIDIA GeForce RTX 3070, 42, 487, 8192, 53, 79.21
2026-08-14T18:28:54,104920775+09:00,NVIDIA GeForce RTX 3070, 45, 487, 8192, 53, 78.60
2026-08-14T18:29:01,303847822+09:00,NVIDIA GeForce RTX 3070, 43, 487, 8192, 53, 78.90
2026-08-14T18:29:08,533647309+09:00,NVIDIA GeForce RTX 3070, 43, 487, 8192, 53, 78.69
2026-08-14T18:29:15,749003129+09:00,NVIDIA GeForce RTX 3070, 42, 487, 8192, 54, 79.37
2026-08-14T18:29:23,003893299+09:00,NVIDIA GeForce RTX 3070, 40, 487, 8192, 53, 80.21
2026-08-14T18:29:30,492035159+09:00,NVIDIA GeForce RTX 3070, 43, 497, 8192, 54, 80.20
2026-08-14T18:29:37,734842593+09:00,NVIDIA GeForce RTX 3070, 48, 485, 8192, 53, 79.56
2026-08-14T18:29:44,921708780+09:00,NVIDIA GeForce RTX 3070, 50, 485, 8192, 54, 81.35
2026-08-14T18:29:52,029743671+09:00,NVIDIA GeForce RTX 3070, 55, 485, 8192, 54, 82.24
2026-08-14T18:29:59,157864777+09:00,NVIDIA GeForce RTX 3070, 49, 485, 8192, 54, 80.94
