iso_time,peer,return_code,rtt_ms
2026-08-14T18:27:05,558845066+09:00,192.168.9.7,0,0.800
2026-08-14T18:27:05,558845066+09:00,192.168.9.110,0,7.36
2026-08-14T18:27:05,558845066+09:00,192.168.9.12,0,0.211
2026-08-14T18:27:12,812695962+09:00,192.168.9.7,0,0.207
2026-08-14T18:27:12,812695962+09:00,192.168.9.110,0,3.80
2026-08-14T18:27:12,812695962+09:00,192.168.9.12,0,0.299
2026-08-14T18:27:20,071560806+09:00,192.168.9.7,0,0.423
2026-08-14T18:27:20,071560806+09:00,192.168.9.110,0,4.01
2026-08-14T18:27:20,071560806+09:00,192.168.9.12,0,0.690
2026-08-14T18:27:27,291582349+09:00,192.168.9.7,0,0.673
2026-08-14T18:27:27,291582349+09:00,192.168.9.110,0,4.00
2026-08-14T18:27:27,291582349+09:00,192.168.9.12,0,0.241
2026-08-14T18:27:34,522353898+09:00,192.168.9.7,0,0.403
2026-08-14T18:27:34,522353898+09:00,192.168.9.110,0,1.10
2026-08-14T18:27:34,522353898+09:00,192.168.9.12,0,0.165
2026-08-14T18:27:41,777441494+09:00,192.168.9.7,0,1.33
2026-08-14T18:27:41,777441494+09:00,192.168.9.110,0,1.50
2026-08-14T18:27:41,777441494+09:00,192.168.9.12,0,0.608
2026-08-14T18:27:48,981556296+09:00,192.168.9.7,0,0.646
2026-08-14T18:27:48,981556296+09:00,192.168.9.110,0,4.27
2026-08-14T18:27:48,981556296+09:00,192.168.9.12,0,0.251
2026-08-14T18:27:56,195919825+09:00,192.168.9.7,0,0.191
2026-08-14T18:27:56,195919825+09:00,192.168.9.110,0,9.21
2026-08-14T18:27:56,195919825+09:00,192.168.9.12,0,0.230
2026-08-14T18:28:03,434020459+09:00,192.168.9.7,0,1.44
2026-08-14T18:28:03,434020459+09:00,192.168.9.110,0,6.77
2026-08-14T18:28:03,434020459+09:00,192.168.9.12,0,0.190
2026-08-14T18:28:10,731393444+09:00,192.168.9.7,0,5.23
2026-08-14T18:28:10,731393444+09:00,192.168.9.110,0,8.73
2026-08-14T18:28:10,731393444+09:00,192.168.9.12,0,0.320
2026-08-14T18:28:18,020239453+09:00,192.168.9.7,0,0.652
2026-08-14T18:28:18,020239453+09:00,192.168.9.110,0,7.56
2026-08-14T18:28:18,020239453+09:00,192.168.9.12,0,0.187
2026-08-14T18:28:25,268585591+09:00,192.168.9.7,0,0.982
2026-08-14T18:28:25,268585591+09:00,192.168.9.110,0,2.53
2026-08-14T18:28:25,268585591+09:00,192.168.9.12,0,0.130
2026-08-14T18:28:32,470577130+09:00,192.168.9.7,0,2.25
2026-08-14T18:28:32,470577130+09:00,192.168.9.110,0,7.42
2026-08-14T18:28:32,470577130+09:00,192.168.9.12,0,0.130
2026-08-14T18:28:39,701178281+09:00,192.168.9.7,0,0.310
2026-08-14T18:28:39,701178281+09:00,192.168.9.110,0,7.48
2026-08-14T18:28:39,701178281+09:00,192.168.9.12,0,0.259
2026-08-14T18:28:46,920403489+09:00,192.168.9.7,0,0.479
2026-08-14T18:28:46,920403489+09:00,192.168.9.110,0,4.79
2026-08-14T18:28:46,920403489+09:00,192.168.9.12,0,0.333
2026-08-14T18:28:54,104920775+09:00,192.168.9.7,0,0.275
2026-08-14T18:28:54,104920775+09:00,192.168.9.110,0,4.46
2026-08-14T18:28:54,104920775+09:00,192.168.9.12,0,0.106
2026-08-14T18:29:01,303847822+09:00,192.168.9.7,0,3.41
2026-08-14T18:29:01,303847822+09:00,192.168.9.110,0,2.61
2026-08-14T18:29:01,303847822+09:00,192.168.9.12,0,0.324
2026-08-14T18:29:08,533647309+09:00,192.168.9.7,0,0.401
2026-08-14T18:29:08,533647309+09:00,192.168.9.110,0,4.14
2026-08-14T18:29:08,533647309+09:00,192.168.9.12,0,0.151
2026-08-14T18:29:15,749003129+09:00,192.168.9.7,0,6.68
2026-08-14T18:29:15,749003129+09:00,192.168.9.110,0,7.48
2026-08-14T18:29:15,749003129+09:00,192.168.9.12,0,0.521
2026-08-14T18:29:23,003893299+09:00,192.168.9.7,0,0.190
2026-08-14T18:29:23,003893299+09:00,192.168.9.110,0,3.66
2026-08-14T18:29:23,003893299+09:00,192.168.9.12,0,0.106
2026-08-14T18:29:30,492035159+09:00,192.168.9.7,0,3.39
2026-08-14T18:29:30,492035159+09:00,192.168.9.110,0,1.55
2026-08-14T18:29:30,492035159+09:00,192.168.9.12,0,0.104
2026-08-14T18:29:37,734842593+09:00,192.168.9.7,0,0.377
2026-08-14T18:29:37,734842593+09:00,192.168.9.110,0,0.862
2026-08-14T18:29:37,734842593+09:00,192.168.9.12,0,0.098
2026-08-14T18:29:44,921708780+09:00,192.168.9.7,0,0.204
2026-08-14T18:29:44,921708780+09:00,192.168.9.110,0,0.353
2026-08-14T18:29:44,921708780+09:00,192.168.9.12,0,0.093
2026-08-14T18:29:52,029743671+09:00,192.168.9.7,0,0.095
2026-08-14T18:29:52,029743671+09:00,192.168.9.110,0,0.321
2026-08-14T18:29:52,029743671+09:00,192.168.
