iso_time,epoch_ns,uptime_s,load1,load5,load15,mem_available_kb,disk_available_bytes,bag_bytes,vehicle_rx_packets,vehicle_tx_packets,vehicle_rx_errors,vehicle_tx_errors,vehicle_rx_dropped,vehicle_tx_dropped,wifi_rx_packets,wifi_tx_packets,can0_rx_packets,can0_tx_packets,can0_rx_errors,can0_tx_errors,can0_rx_dropped,can0_tx_dropped
2026-08-14T18:27:05,558845066+09:00,1786699625575405421,5304.62,13.45,13.38,9.71,26710652,366758469632,611419038,58774385,8768037,0,0,79683,0,139669,127136,8300608,152753,0,0,176624,0
2026-08-14T18:27:07,346853689+09:00,1786699627362614193,5306.41,13.09,13.31,9.71,26716416,366757179392,612635307,58832846,8772169,0,0,79733,0,139705,127167,8303729,152812,0,0,176624,0
2026-08-14T18:27:08,708321705+09:00,1786699628724586486,5307.78,13.09,13.31,9.71,26712628,366755983360,613786467,58878488,8774955,0,0,79799,0,139723,127185,8306155,152857,0,0,176624,0
2026-08-14T18:27:10,069722058+09:00,1786699630086869152,5309.14,13.09,13.31,9.71,26697696,366754750464,614974491,58921513,8777666,0,0,79859,0,139798,127237,8308548,152902,0,0,176624,0
2026-08-14T18:27:11,437026165+09:00,1786699631454424636,5310.51,13.09,13.31,9.71,26711660,366753087488,616592595,58964860,8781141,0,0,79897,0,139828,127258,8311016,152949,0,0,176624,0
2026-08-14T18:27:12,812695962+09:00,1786699632829694492,5311.88,12.36,13.16,9.68,26710860,366751604736,618026379,59009050,8784497,0,0,79953,0,139899,127310,8313457,152994,0,0,176624,0
2026-08-14T18:27:14,557781098+09:00,1786699634575703244,5313.63,12.36,13.16,9.68,26710416,366749392896,620168344,59066501,8788835,0,0,80027,0,140023,127418,8316530,153052,0,0,176624,0
2026-08-14T18:27:15,929093702+09:00,1786699635950711720,5315.00,12.36,13.16,9.68,26710896,366747672576,621856080,59112284,8791757,0,0,80053,0,140096,127494,8319018,153099,0,0,176624,0
2026-08-14T18:27:17,343306331+09:00,1786699637361810971,5316.41,11.77,13.02,9.65,26689632,366745989120,623478280,59158400,8794579,0,0,80090,0,140214,127596,8321465,153145,0,0,176624,0
2026-08-14T18:27:18,707967034+09:00,1786699638726285235,5317.78,11.77,13.02,9.65,26701616,366744788992,624629440,59201901,8797271,0,0,80143,0,140258,127634,8323905,153191,0,0,176624,0
2026-08-14T18:27:20,071560806+09:00,1786699640086345934,5319.14,11.77,13.02,9.65,26707752,366743826432,625551224,59246075,8801226,0,0,80181,0,140274,127645,8326360,153237,0,0,176624,0
2026-08-14T18:27:21,824204829+09:00,1786699641840924156,5320.89,11.77,13.02,9.65,26711128,366742507520,626816645,59301079,8805505,0,0,80241,0,140276,127647,8329418,153294,0,0,176624,0
2026-08-14T18:27:23,190512071+09:00,1786699643204867184,5322.26,15.95,13.87,9.95,26708376,366741585920,627689277,59347412,8808586,0,0,80263,0,140300,127666,8331850,153340,0,0,176624,0
2026-08-14T18:27:24,558431413+09:00,1786699644576053912,5323.63,15.95,13.87,9.95,26706372,366740811776,628414453,59391375,8811397,0,0,80323,0,140303,127668,8334291,153386,0,0,176624,0
2026-08-14T18:27:25,927945404+09:00,1786699645944101675,5325.00,15.95,13.87,9.95,26715624,366740201472,628983981,59434134,8814134,0,0,80359,0,140307,127673,8336720,153431,0,0,176624,0
2026-08-14T18:27:27,291582349+09:00,1786699647307823203,5326.36,15.00,13.70,9.91,26711104,366739578880,629545317,59478491,8817483,0,0,80425,0,140312,127676,8339150,153477,0,0,176624,0
2026-08-14T18:27:29,012326761+09:00,1786699649031190473,5328.08,15.00,13.70,9.91,26713216,366738784256,630282354,59534886,8821757,0,0,80507,0,140395,127719,8342219,153534,0,0,176624,0
2026-08-14T18:27:30,383570402+09:00,1786699650399765195,5329.45,15.00,13.70,9.91,26709312,366738075648,630937898,59582419,8830769,0,0,80583,0,140485,127780,8344688,153580,0,0,176624,0
2026-08-14T18:27:31,757632847+09:00,1786699651773732443,5330.82,15.00,13.70,9.91,26712604,366737342464,631626210,59627685,8833744,0,0,80689,0,140873,127984,8347115,153626,0,0,176624,0
2026-08-14T18:27:33,128326056+09:00,1786699653149193954,5332.20,15.64,13.86,9.98,26676916,366736572416,632367770,59671880,8836662,0,0,80815,0,141000,128089,8349596,153672,0,0,176624,0
2026-08-14T18:27:34,522353898+09:00,1786699654538202469,5333.59,15.64,13.86,9.98,26653700,366735769600,633097042,59722442,8845270,0,0,80983,0,141063,128149,8352058,153718,0,0,176624,0
2026-08-14T18:27:36,307088622+09:00,1786699656326076395,5335.38,15.64,13.86,9.98,26704392,366734716928,634096223,59779848,8850204,0,0,81121,0,141157,128238,8355231,153778,0,0,176624,0
2026-08-14T18:27:37,678656514+09:00,1786699657695421387,5336.75,15.03,13.76,9.97,26707660,366733959168,634794035,59822548,8853514,0,0,81175,0,141197,128272,8357686,153823,0,0,176624,0
2026-08-14T18:27:39,053349350+09:00,1786699659069413019,5338.12,15.03,13.76,9.97,26693904,366733230080,635478251,59867735,8856729,0,0,81267,0,141249,128307,8360083,153868,0,0,176624,0
2026-08-14T18:27:40,404573197+09:00,1786699660420746028,5339.47,15.03,13.76,9.97,26708096,366732394496,636268963,59910730,8859566,0,0,81375,0,141301,128352,8362490,153914,0,0,176624,0
2026-08-14T18:27:41,777441494+09:00,1786699661792491793,5340.84,15.03,13.76,9.97,26710232,366731563008,637047387,59953289,8862346,0,0,81495,0,141372,128421,8364926,153960,0,0,176624,0
2026-08-14T18:27:43,509029888+09:00,1786699663525916490,5342.58,14.54,13.68,9.97,26703360,366730489856,638079335,60007630,8866667,0,0,81609,0,141496,128540,8367979,154017,0,0,176624,0
2026-08-14T18:27:44,871244719+09:00,1786699664886883346,5343.94,14.54,13.68,9.97,26710768,366729670656,638829087,60050820,8869988,0,0,81711,0,141512,128554,8370412,154063,0,0,176624,0
