# HH_260814 - Record exact recovered cross-PC topic counts and duration-derived rates.
topic,type,count,mean_rate_hz
/api/operation_mode/state,autoware_adapi_v1_msgs/msg/OperationModeState,1,0.003106
/control/command/control_cmd,autoware_control_msgs/msg/Control,10718,33.287730
/control/trajectory_follower/control_cmd,autoware_control_msgs/msg/Control,10717,33.284624
/perception/object_recognition/detection/objects,autoware_perception_msgs/msg/DetectedObjects,2992,9.292488
/perception/object_recognition/objects,autoware_perception_msgs/msg/PredictedObjects,3234,10.044086
/perception/object_recognition/objects/debug/published_time,autoware_internal_msgs/msg/PublishedTime,3231,10.034769
/perception/object_recognition/tracking/objects,autoware_perception_msgs/msg/TrackedObjects,3235,10.047192
/perception/pc4/virtual_obstacles/tracked_objects,autoware_perception_msgs/msg/TrackedObjects,3204,9.950913
/planning/scenario_planning/trajectory,autoware_planning_msgs/msg/Trajectory,3216,9.988182
/system/fail_safe/mrm_state,autoware_adapi_v1_msgs/msg/MrmState,3221,10.003711
/system/operation_mode/availability,tier4_system_msgs/msg/OperationModeAvailability,3220,10.000605
/vehicle/status/control_mode,autoware_vehicle_msgs/msg/ControlModeReport,16095,49.987499
/vehicle/status/gear_status,autoware_vehicle_msgs/msg/GearReport,32131,99.791756
/vehicle/status/steering_status,autoware_vehicle_msgs/msg/SteeringReport,16101,50.006133
/vehicle/status/velocity_status,autoware_vehicle_msgs/msg/VelocityReport,16098,49.996816
