wall_time_ns,monotonic_time_ns,interface,rx_bytes,rx_packets,rx_errors,rx_dropped,rx_missed_errors,tx_bytes,tx_packets,tx_errors,tx_dropped,collisions
1786699423750496320,4280676654592,enp3s0,88151160999,67545636,0,0,0,84031896,524369,0,0,0
1786699424751242150,4281677397521,enp3s0,88193374771,67580875,0,0,0,85003706,527410,0,0,0
1786699425751938702,4282678093999,enp3s0,88235528315,67613262,0,0,0,85025592,527573,0,0,0
1786699426752654913,4283678811547,enp3s0,88277899579,67645914,0,0,0,85046248,527739,0,0,0
1786699427753485783,4284679641518,enp3s0,88320329683,67678475,0,0,0,85064844,527889,0,0,0
1786699428754287732,4285680442956,enp3s0,88361736559,67710252,0,0,0,85075670,527980,0,0,0
1786699429754999095,4286681154593,enp3s0,88402661015,67741681,0,0,0,85087068,528083,0,0,0
1786699430755871089,4287682026778,enp3s0,88444026237,67773226,0,0,0,85096740,528170,0,0,0
1786699431756676973,4288682832451,enp3s0,88485692313,67805114,0,0,0,85116936,528356,0,0,0
1786699432757721932,4289683877334,enp3s0,88528668903,67838044,0,0,0,85132232,528492,0,0,0
1786699433758659992,4290684815525,enp3s0,88572598383,67871667,0,0,0,85152374,528656,0,0,0
1786699434759638875,4291685794513,enp3s0,88613461079,67903180,0,0,0,85171268,528823,0,0,0
1786699435760607321,4292686762870,enp3s0,88654863039,67934894,0,0,0,85187514,528968,0,0,0
1786699436761566161,4293687722052,enp3s0,88697347421,67967458,0,0,0,85198388,529059,0,0,0
1786699437762521098,4294688676698,enp3s0,88741000391,68003127,0,0,0,85580534,531458,0,0,0
1786699438763449521,4295689605124,enp3s0,88781782057,68034403,0,0,0,85590130,531544,0,0,0
1786699439764398024,4296690553898,enp3s0,88825790573,68070320,0,0,0,85844444,533215,0,0,0
1786699440765397858,4297691553327,enp3s0,88866946995,68103147,0,0,0,86057616,534466,0,0,0
1786699441766325200,4298692480788,enp3s0,88908516493,68135240,0,0,0,86082140,534651,0,0,0
1786699442767303963,4299693459733,enp3s0,88952982387,68172401,0,0,0,86513682,537281,0,0,0
1786699443768493042,4300694648890,enp3s0,88995200371,68204697,0,0,0,86530668,537430,0,0,0
1786699444769395850,4301695551247,enp3s0,89036810769,68237708,0,0,0,86564412,537646,0,0,0
1786699445770216884,4302696372994,enp3s0,89080453673,68273211,0,0,0,86938372,540123,0,0,0
1786699446771241917,4303697397527,enp3s0,89122684633,68305753,0,0,0,86949778,540224,0,0,0
1786699447772301179,4304698457217,enp3s0,89166087067,68339062,0,0,0,86971166,540421,0,0,0
1786699448773356732,4305699512024,enp3s0,89207025581,68370534,0,0,0,86987040,540562,0,0,0
1786699449774356518,4306700511642,enp3s0,89247856963,68402144,0,0,0,87008284,540736,0,0,0
1786699450775078431,4307701233671,enp3s0,89290441933,68434686,0,0,0,87025848,540890,0,0,0
1786699451775768913,4308701924164,enp3s0,89333758277,68467805,0,0,0,87041140,541026,0,0,0
1786699452776489375,4309702644723,enp3s0,89376358819,68500421,0,0,0,87052014,541117,0,0,0
1786699453777341382,4310703496742,enp3s0,89418690303,68532785,0,0,0,87062034,541207,0,0,0
1786699454778089239,4311704244531,enp3s0,89460729627,68564898,0,0,0,87072266,541299,0,0,0
1786699455778920874,4312705076392,enp3s0,89502596573,68596954,0,0,0,87092392,541484,0,0,0
1786699456779642832,4313705797863,enp3s0,89543569295,68628445,0,0,0,87107936,541622,0,0,0
1786699457780451510,4314706606881,enp3s0,89585860369,68661069,0,0,0,87127424,541780,0,0,0
1786699458781248936,4315707404217,enp3s0,89629374599,68694286,0,0,0,87145896,541943,0,0,0
1786699459781966890,4316708122406,enp3s0,89670747307,68725978,0,0,0,87161400,542081,0,0,0
1786699460782705440,4317708861060,enp3s0,89712498727,68758030,0,0,0,87172592,542175,0,0,0
1786699461783551227,4318709706661,enp3s0,89753248873,68789231,0,0,0,87183036,542269,0,0,0
1786699462784254204,4319710409785,enp3s0,89794883781,68821115,0,0,0,87193304,542361,0,0,0
1786699463785074416,4320711229806,enp3s0,89839178853,68854940,0,0,0,87222160,542559,0,0,0
1786699464785779702,4321711935367,enp3s0,89880765957,68886805,0,0,0,87245032,542685,0,0,0
1786699465786496991,4322712652582,enp3s0,89921999463,68918602,0,0,0,87267146,542844,0,0,0
1786699466787192339,4323713347929,enp3s0,89963854181,68950679,0,0,0,87297822,543007,0,0,0
1786699467788024900,4324714180386,enp3s0,90007527997,68984042,0,0,0,87325720,543146,0,0,0
1786699468788854322,4325715009932,enp3s0,90048731215,69015636,0,0,0,87348914,543237,0,0,0
1786699469789665769,4326715821264,enp3s0,90089483099,69047701,0,0,0,87479184,544131,0,0,0
1786699470790394386,4327716549989,enp3s0,90131755879,69080075,0,0,0,87493820,544251,0,0,0
1786699471791250545,4328717405937,enp3s0,90173268075,69111827,0,0,0,87526428,544439,0,0,0
1786699472791978384,4329718133886,enp3s0,90217539423,69145731,0,0,0,87543036,544577,0,0,0
1786699473792782125,4330718937701,enp3s0,90259990479,69178362,0,0,0,87573014,544730,0,0,0
1786699474793553513,4331719709103,enp3s0,90302498079,69210941,0,0,0,87592910,544906,0,0,0
1786699475794353481,4332720509034,enp3s0,90344736931,69243282,0,0,0,87614090,545044,0,0,0
1786699476795061932,4333721217528,enp3s0,90385974735,69274898,0,0,0,87636016,545137,0,0,0
1786699477795872120,4334722027562,enp3s0,90428959459,69307748,0,0,0,87657724,545235,0,0,0
1786699478796692222,4335722847717,enp3s0,90470982463,69339863,0,0,0,87679538,545334,0,0,0
1786699479797487076,4336723642564,enp3s0,90512289175,69371553,0,0,0,87711740,545531,0,0,0
