wall_time_ns,cpu_percent,memory_used_kib,memory_total_kib,gpu_percent,gpu_memory_used_mib,gpu_memory_total_mib,nic_receive_bytes_total,nic_transmit_bytes_total
1786699424764405837,27.621052631578948,25150984,65595064,59,6075,24564,88255631702,123167774
1786699425791211251,19.98365345320801,25170804,65595064,61,6083,24564,88298568784,123189448
1786699426816844989,22.004089979550102,25157704,65595064,60,6077,24564,88341898762,123211462
1786699427842588624,28.401150842581174,25194676,65595064,61,6077,24564,88385595360,123229588
1786699428869214136,19.959016393442624,25199032,65595064,60,6077,24564,88427894064,123240838
1786699429892645660,32.22267370987404,25180620,65595064,62,6077,24564,88469538204,123252194
1786699430917682719,20.893669838642946,25195452,65595064,59,6075,24564,88512396904,123263652
1786699431942988466,21.810699588477366,25174236,65595064,64,6083,24564,88554736717,123397713
1786699432967164117,29.127406800491602,25199300,65595064,62,6075,24564,88598959257,123416338
1786699433997463441,20.0,25201664,65595064,62,6077,24564,88644088247,123437846
1786699435025908421,23.84078785391875,25193056,65595064,61,6077,24564,88686469370,123456126
1786699436049497279,20.53061224489796,25178296,65595064,59,6077,24564,88728150684,123470258
1786699437074231271,28.32512315270936,25185640,65595064,53,6075,24564,88771810407,123487970
1786699438099538314,24.39325380501851,25216980,65595064,57,6075,24564,88816460328,123874611
1786699439124692228,20.486397361912612,25228196,65595064,62,6077,24564,88859245222,123893029
1786699440149020923,28.47165160230074,25215580,65595064,60,6077,24564,88903351062,124339297
1786699441174206620,20.147722609766106,25197612,65595064,60,6076,24564,88945241418,124358059
1786699442201767904,26.004922067268254,25201628,65595064,61,6075,24564,88988985974,124384817
1786699443226134828,23.020106688551497,25212548,65595064,61,6077,24564,89034977655,124815925
1786699444255406640,20.098643649815042,25201480,65595064,58,6077,24564,89076856638,124834343
1786699445279122816,22.554236594351206,25200568,65595064,58,6077,24564,89121092312,125241311
1786699446303998605,22.295623451692816,25207320,65595064,60,6078,24564,89164303065,125255597
1786699447329861013,20.657084188911703,25183696,65595064,62,6077,24564,89208263720,125275025
1786699448354822150,20.369609856262834,25162400,65595064,63,6075,24564,89251456640,125294635
1786699449381861897,20.434070434070435,25177424,65595064,62,6075,24564,89293730155,125310005
1786699450408057200,22.818517001229004,25186576,65595064,64,6090,24564,89336897629,125335143
1786699451437347870,20.426579163248565,25211048,65595064,58,6092,24564,89380467976,125358253
1786699452464361309,20.481436148510813,25183072,65595064,57,6088,24564,89424307629,125377049
1786699453489548241,20.50861361771944,25171608,65595064,59,6089,24564,89468519404,125388811
